Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing
THE GAP,ASHGROVE,D1095,WILCANNIA PARK,19393,WILCANNIA PK PICNIC AREA,11708,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,-27.44941405,152.9673844,496777,6963786
THE GAP,ASHGROVE,D1303,AMARINA AVENUE PARK (ROAD RESERVE),19267,AMARINA AVE PLAYGROUND,4002,TAP COMBINATION,Bubbler & Tap,-27.44365742,152.9873815,498753,6964424
THE GAP,ASHGROVE,D1400,JALOON STREET PARK,19289,JALOON ST PLAYGROUND,95354,TAP COMBINATION,Bubbler & 2 taps,-27.44998462,152.9762794,497656,6963723
THE GAP,ASHGROVE,D1710,ST JOHNS AVENUE PARK (NOS.7-27),19204,ST JOHNS AVE PLAYGROUND,95197,TAP COMBINATION,Bubbler & 2 taps,-27.44389035,152.9743176,497462,6964398
THE GAP,ASHGROVE,D1710,ST JOHNS AVENUE PARK (NOS.7-27),29513,ENOGGERA CK PICNIC AREA,27651,TAP COMBINATION,Bubbler & Tap,-27.44361059,152.9749147,497521,6964429
THE GAP,BARDON,D0178,BOWMAN PARK,19618,BARDON LATROBE JR SOCCER & SPORTING FACILITY,33219,TAP COMBINATION,Bubbler & Tap,-27.4577397,152.9763992,497668,6962864
THE GAP,BARDON,D0178,BOWMAN PARK,19618,BARDON LATROBE JR SOCCER & SPORTING FACILITY,42605,TAP COMBINATION,Bubbler & Tap,-27.45774872,152.9763992,497668,6962863
THE GAP,BARDON,D0178,BOWMAN PARK,19620,DAVID AVE PLAYGROUND,110965,TAP COMBINATION,Bubbler & 2 taps,-27.45685499,152.9766221,497690,6962962
THE GAP,BARDON,D0178,BOWMAN PARK,19621,BALANCE OF PARK,111121,TAP COMBINATION,Bubbler & 2 taps,-27.45896773,152.9777754,497804,6962728
THE GAP,BARDON,D0178,BOWMAN PARK,23745,BOWMAN PK FITNESS STATION,12523,TAP COMBINATION,Bubbler & Tap,-27.45706285,152.9779579,497822,6962939
THE GAP,BARDON,D0178,BOWMAN PARK,19621,BALANCE OF PARK,44705,TAP COMBINATION,Bubbler & Tap,-27.45900389,152.9780587,497832,6962724
